,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,25,66,54
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**,8,8,9,9,10,12,15,22,32,37,30,26,30,38,58,85,122,157,222,255,365,388,398,471,568,609,668,647,751,887,"1,024","1,126","1,248","1,348","1,497","1,583","1,662","1,683","1,548","1,580","1,518","1,687","1,671","1,519","1,534","1,451","1,272","1,268","1,215","1,070","1,030","1,061","1,127","1,166"
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,11,51,72,84,74,72,83,101,166,275,406,514,625,778,915,"1,242","1,562","1,931","2,328","2,483","2,589","2,771","3,083","3,942","5,407","7,136","9,385","11,761","14,925","17,277","18,701","19,020","14,981","14,102","15,322","18,190","21,139","24,770","29,166","33,330","38,269","44,301","49,024","54,632","58,027","59,977","61,899","63,517"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non-Durable Medical Products Expenditures,"1,626","1,764","1,901","1,944","2,083","2,211","2,377","2,527","2,750","2,967","3,325","3,470","3,672","3,983","4,491","4,949","5,433","6,083","7,137","8,450","9,801","11,296","12,581","13,755","14,976","15,955","17,063","18,265","19,376","20,819","22,446","23,247","23,213","23,742","24,310","25,100","26,004","27,581","28,574","30,624","31,568","32,250","33,292","36,199","38,088","40,805","43,733","47,752","49,472","50,328","51,246","52,806","53,741","55,892"
     Out of pocket,"1,626","1,764","1,901","1,944","2,083","2,211","2,375","2,522","2,744","2,960","3,316","3,460","3,659","3,968","4,470","4,921","5,399","6,039","7,078","8,376","9,703","11,166","12,413","13,536","14,722","15,668","16,734","17,885","18,958","20,343","21,889","22,505","22,348","22,783","23,290","23,893","24,777","26,248","27,224","29,296","30,134","30,669","31,614","34,338","36,063","38,663","41,436","45,212","46,755","47,532","48,235","49,677","50,465","53,223"
     Health Insurance, -   , -   , -   , -   , -   , -   ,2,5,6,7,9,10,13,15,21,28,34,44,59,74,98,130,168,219,254,287,329,380,418,476,557,742,865,959,"1,020","1,207","1,227","1,333","1,350","1,327","1,434","1,581","1,678","1,861","2,025","2,142","2,297","2,540","2,717","2,796","3,010","3,128","3,273","2,667"
          Private Health Insurance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
          Medicare, -   , -   , -   , -   , -   , -   ,2,5,6,7,9,10,13,15,21,28,34,44,59,74,98,130,168,219,254,287,329,380,418,476,557,742,865,959,"1,020","1,207","1,227","1,333","1,350","1,327","1,434","1,581","1,678","1,861","2,025","2,142","2,297","2,540","2,717","2,796","3,010","3,128","3,273","2,667"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Other Third Party Payers and Programs,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,2,2
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Maternal/Child Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,2,2
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,2,5,6,7,9,10,13,15,21,28,34,44,59,74,98,130,168,219,254,287,329,380,418,476,557,742,865,959,"1,020","1,207","1,227","1,333","1,350","1,327","1,434","1,581","1,678","1,861","2,025","2,142","2,297","2,540","2,717","2,796","3,010","3,128","3,273","2,667"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Prescription Drug Expenditures,"2,676","2,718","3,029","3,159","3,347","3,715","3,985","4,227","4,742","5,149","5,497","5,877","6,324","6,817","7,422","8,052","8,722","9,196","9,891","10,744","12,049","13,398","15,029","17,323","19,617","21,795","24,290","26,888","30,646","34,757","40,290","44,381","47,003","49,589","53,059","59,808","68,137","77,621","88,427","104,736","121,181","139,147","158,159","176,998","192,963","205,307","224,445","236,005","242,724","254,981","256,186","262,954","264,378","271,096"
     Out of pocket,"2,570","2,595","2,889","3,005","3,138","3,441","3,594","3,712","4,120","4,362","4,531","4,752","5,035","5,341","5,724","6,093","6,519","6,813","7,200","7,575","8,592","8,983","10,440","11,446","12,731","13,855","15,744","16,692","18,694","20,581","22,867","23,553","23,681","23,859","23,199","23,223","24,265","25,704","27,497","30,554","33,707","36,417","40,945","45,641","48,301","51,507","51,353","52,071","49,876","49,578","46,146","46,839","46,469","45,911"
     Health Insurance,39,42,46,47,85,133,288,445,540,703,907,"1,061","1,217","1,396","1,608","1,856","2,087","2,261","2,563","2,991","3,242","4,170","4,312","5,556","6,504","7,443","7,914","9,482","11,110","13,159","16,217","19,595","22,068","24,497","28,559","35,225","42,464","50,402","59,210","72,253","85,191","100,008","114,092","127,743","140,948","149,904","168,982","180,107","189,176","201,828","206,589","213,165","215,187","222,673"
          Private Health Insurance,35,38,42,43,82,130,182,238,317,399,484,558,643,742,855,967,"1,097","1,202","1,433","1,731","1,810","2,534","2,610","3,614","4,244","5,047","4,836","5,957","7,126","8,862","10,860","13,212","14,768","16,246","19,229","24,504","30,144","36,204","42,620","52,210","61,218","71,302","79,922","87,232","95,153","102,202","102,041","107,460","110,995","118,290","118,913","120,899","118,557","117,937"
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,21,44,75,102,139,185,231,293,372,496,722,"1,011","1,259","1,561","1,919","2,096","2,448","2,473","2,470","3,371","3,931","39,637","45,955","50,644","54,545","58,920","63,231","67,430","74,647"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,103,205,219,300,417,495,563,644,739,871,969,"1,036","1,107","1,236","1,408","1,611","1,669","1,907","2,219","2,332","2,986","3,396","3,814","4,083","5,077","6,043","6,883","7,721","8,627","9,700","10,824","12,225","14,015","16,613","19,760","23,316","27,443","32,133","35,727","36,351","19,149","18,380","19,183","20,193","20,047","20,005","20,219","21,173"
                          Federal  , -   , -   , -   , -   , -   , -   ,50,99,114,165,224,281,308,336,419,478,576,587,613,701,815,923,952,"1,092","1,263","1,319","1,691","1,916","2,183","2,342","2,919","3,445","4,029","4,551","4,974","5,543","6,238","6,999","7,992","9,504","11,289","13,346","15,637","19,155","21,019","20,823","10,947","10,554","11,416","13,451","13,541","11,913","10,947","11,568"
                          State and Local, -   , -   , -   , -   , -   , -   ,53,106,106,135,193,214,255,308,321,392,394,449,493,536,593,688,717,815,956,"1,013","1,295","1,480","1,631","1,741","2,158","2,598","2,854","3,169","3,653","4,157","4,586","5,226","6,023","7,110","8,471","9,970","11,806","12,978","14,708","15,528","8,202","7,827","7,767","6,742","6,506","8,092","9,273","9,605"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,47,173,302,407,603,953,931,"1,055",978,997,"1,162","1,363","1,410","1,443","1,412","1,415"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,33,122,213,289,427,676,663,748,690,701,828,977,"1,006","1,033","1,002","1,006"
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14,51,89,118,176,277,269,307,288,297,334,387,404,409,409,409
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   ,1,2,3,5,6,5,6,9,10,11,11,11,11,13,20,22,27,34,38,43,57,65,84,98,114,145,179,213,261,309,339,472,667,"1,040","1,825","2,723","3,289","3,660","4,423","4,699","4,762","4,961","4,745","4,842","4,885","4,803"
         Department of Veterans Affairs,4,4,4,4,3,3,3,3,3,3,3,4,5,5,7,9,12,11,12,12,13,13,13,12,11,10,10,10,11,9,10,10,10,12,28,86,223,405,628,866,"1,148","1,495","1,827","2,231","2,478","2,704","2,753","2,617","2,429","2,475","2,553","2,746","2,684","2,697"
     Other Third Party Payers and Programs,67,81,94,107,124,140,104,69,82,83,59,65,73,80,90,104,115,122,128,179,215,245,277,321,382,497,633,715,842,"1,017","1,206","1,232","1,254","1,233","1,302","1,361","1,408","1,515","1,720","1,928","2,283","2,722","3,121","3,614","3,714","3,897","4,110","3,826","3,672","3,575","3,452","2,949","2,722","2,513"
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,5,6,8,8,8,9,9,10,10,11,12,14,14,15,16,17,18,19,20,23,27,27,28,27
         Workers' Compensation,9,9,10,11,11,12,14,15,17,19,21,23,25,30,33,36,40,42,45,51,55,59,67,78,91,106,125,144,172,208,245,271,287,290,276,290,317,357,413,500,567,662,729,803,826,836,856,875,930,910,899,930,900,919
         General Assistance,4,4,3,4,4,4,8,15,27,27,29,31,35,39,43,53,60,63,65,109,141,167,191,221,270,366,481,542,640,779,929,924,927,904,985,"1,027","1,045","1,107","1,253","1,365","1,646","1,983","2,311","2,726","2,801","2,974","3,163","2,858","2,648","2,570","2,454","1,799","1,398","1,233"
         Maternal/Child Health,1,1,2,2,3,3,5,6,8,9,8,9,10,9,11,12,13,14,15,16,16,16,16,18,17,20,21,23,24,25,26,29,31,31,32,33,36,39,42,49,56,59,62,65,66,66,68,70,69,66,62,57,51,46
                          Federal  ,1,1,1,1,2,2,3,5,6,7,5,7,8,7,8,9,10,11,11,12,12,11,11,13,11,13,13,14,14,15,16,17,18,18,19,19,20,22,23,27,29,31,34,35,35,35,35,35,34,33,32,31,29,27
                          State and Local, -   , -   ,1,1,1,1,1,1,2,2,3,3,2,2,3,3,3,3,3,4,4,5,5,5,6,7,9,9,10,10,11,12,12,13,13,14,15,18,19,23,27,28,29,30,30,31,33,35,35,32,30,26,22,19
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*,28,36,44,53,53,53,38,20,17,15,1,1,1,1,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,130,339,282
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**,26,30,34,38,53,68,38,13,13,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,4,5,5,5,5,6,6,6,6,6,6,6
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,103,205,219,300,417,495,563,644,739,871,969,"1,036","1,107","1,236","1,408","1,611","1,669","1,907","2,221","2,353","3,030","3,471","3,916","4,222","5,262","6,274","7,176","8,093","9,123","10,422","11,835","13,484","15,623","18,705","22,158","26,171","30,519","35,556","40,029","41,337","59,764","65,332","70,989","76,101","80,377","84,679","89,061","97,235"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Durable Medical Equipment Expenditures,740,765,910,901,"1,004","1,105","1,242","1,128","1,317","1,512","1,747","1,799","2,032","2,247","2,506","2,801","2,987","3,205","3,446","3,781","4,054","4,330","4,570","5,250","6,141","7,056","8,066","9,466","11,078","11,886","13,766","13,079","13,496","14,136","15,314","15,855","17,426","19,210","21,349","23,013","25,156","25,125","27,121","28,036","29,453","30,870","32,330","34,337","34,897","35,022","36,978","39,068","41,255","42,987"
     Out of pocket,686,707,843,833,928,"1,021","1,130",990,"1,149","1,299","1,503","1,532","1,721","1,889","2,062","2,259","2,390","2,507","2,629","2,794","2,964","3,087","3,159","3,576","4,235","4,900","5,625","6,654","7,833","8,184","9,493","8,579","8,543","8,669","9,266","9,081","10,029","11,110","12,985","14,167","15,443","14,541","15,289","15,381","16,270","16,932","17,510","18,837","18,470","18,629","19,944","21,652","23,041","24,656"
     Health Insurance,40,40,49,50,55,62,85,108,130,169,197,213,254,297,374,464,516,612,724,885,984,"1,137","1,300","1,547","1,758","1,980","2,236","2,573","2,966","3,383","3,906","4,143","4,590","5,108","5,688","6,426","7,036","7,712","7,937","8,377","9,212","10,078","11,303","12,117","12,638","13,394","14,277","14,932","15,845","15,827","16,447","16,803","17,584","17,706"
          Private Health Insurance,40,40,49,50,55,62,75,82,91,113,133,151,186,210,252,306,334,397,459,553,568,572,566,619,708,790,873,"1,002","1,226","1,343","1,523","1,391","1,357","1,449","1,644","1,731","1,970","2,261","2,707","2,953","3,268","3,085","3,260","3,288","3,503","3,649","3,716","4,003","3,882","3,948","4,234","4,529","4,682","4,977"
          Medicare, -   , -   , -   , -   , -   , -   ,6,16,21,25,28,35,42,51,71,94,115,148,198,247,326,447,573,748,865,973,"1,106","1,268","1,380","1,556","1,801","2,031","2,344","2,597","2,769","3,169","3,411","3,836","3,644","3,750","4,065","4,479","5,273","6,020","6,230","6,434","6,885","7,017","7,891","7,488","7,504","7,528","8,080","7,692"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,5,9,18,32,35,27,26,36,51,65,68,66,67,86,90,118,160,181,185,217,256,303,360,484,583,721,889,"1,062","1,276","1,526","1,655","1,615","1,582","1,644","1,837","2,470","2,697","2,745","2,848","3,246","3,614","3,825","3,987","4,315","4,621","4,642","4,702","4,904"
                          Federal  , -   , -   , -   , -   , -   , -   ,3,6,11,18,20,15,15,21,28,36,35,36,37,47,51,67,90,102,104,123,146,173,202,277,333,428,534,635,762,898,978,949,923,972,"1,082","1,455","1,589","1,721","1,736","1,919","2,110","2,242","2,405","2,928","3,165","2,811","2,670","2,793"
                          State and Local, -   , -   , -   , -   , -   , -   ,2,3,7,14,14,12,11,15,22,28,33,30,29,39,40,52,71,79,81,95,110,130,158,207,250,294,355,427,514,629,677,666,660,672,755,"1,015","1,108","1,024","1,112","1,327","1,505","1,583","1,582","1,386","1,456","1,831","2,032","2,111"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,30,43,44,73,64,58,66,62,87,85,76,88,104,121,132
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,21,29,32,51,46,42,48,45,63,63,56,64,76,87,96
